station_uid,station_num,routes,direction,station,lat,lon,station_uid2,station_num2,station2,lat2,lon2,distance_km
54_0_8,54,8,0,โรงพยาบาลรามาธิบดี,13.766799,100.527941,55_0_8,55,กระทรวงการต่างประเทศ,13.762277,100.524349,0.6350828536874944
55_0_8,55,8,0,กระทรวงการต่างประเทศ,13.762277,100.524349,56_0_8,56,แยกเสาวนีย์,13.761813,100.522516,0.2045818397846443
56_0_8,56,8,0,แยกเสาวนีย์,13.761813,100.522516,57_0_8,57,เลียบทางรถไฟยมราช,13.758467,100.521166,0.3996077975960074
57_0_8,57,8,0,เลียบทางรถไฟยมราช,13.758467,100.521166,58_0_8,58,"สะพานขาว,บ้านมนังคศิลา,โรงพยาบาลมิชชั่น,มหานาค",13.756857,100.519043,0.29090433770327256
58_0_8,58,8,0,"สะพานขาว,บ้านมนังคศิลา,โรงพยาบาลมิชชั่น,มหานาค",13.756857,100.519043,59_0_8,59,สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ (สภาพัฒน์),13.756502,100.514238,0.520464225855539
59_0_8,59,8,0,สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ (สภาพัฒน์),13.756502,100.514238,60_0_8,60,หลานหลวง 8,13.756405,100.511475,0.29861359087455736
60_0_8,60,8,0,หลานหลวง 8,13.756405,100.511475,61_0_8,61,ตรงข้ามวัดสระเกศราชวรมหาวิหาร (ภูเขาทอง),13.753177,100.509319,0.42785540306800146
61_0_8,61,8,0,ตรงข้ามวัดสระเกศราชวรมหาวิหาร (ภูเขาทอง),13.753177,100.509319,62_0_8,62,แม้นศรี,13.751107,100.50847,0.24776683020126
62_0_8,62,8,0,แม้นศรี,13.751107,100.50847,63_0_8,63,ตรงข้ามชุมชนบ้านดอกไม้,13.748893,100.507427,0.2707359547444044
63_0_8,63,8,0,ตรงข้ามชุมชนบ้านดอกไม้,13.748893,100.507427,64_0_8,64,วัดตึก,13.744707,100.505014,0.5334618937169827
64_0_8,64,8,0,วัดตึก,13.744707,100.505014,65_0_8,65,ตลาดเยาวราช,13.742986,100.503652,0.24137693701555762
65_0_8,65,8,0,ตลาดเยาวราช,13.742986,100.503652,66_0_8,66,สะพานพุทธ,13.740096,100.49806,0.684170404741639
67_1_8,67,8,1,สะพานพุทธ,13.740102,100.498043,68_1_8,68,ปากคลองตลาด,13.742252,100.49628,0.3056403528035494
68_1_8,68,8,1,ปากคลองตลาด,13.742252,100.49628,69_1_8,69,เลียบคลองหลอด,13.743914,100.496189,0.18506716617059318
69_1_8,69,8,1,เลียบคลองหลอด,13.743914,100.496189,70_1_8,70,MRT สามยอด,13.747101,100.501681,0.6909861708491511
70_1_8,70,8,1,MRT สามยอด,13.747101,100.501681,71_1_8,71,คลองถม ฝั่งวรจักร,13.746348,100.506066,0.4809672375348491
71_1_8,71,8,1,คลองถม ฝั่งวรจักร,13.746348,100.506066,72_1_8,72,ตลาดวรจักร,13.749455,100.507498,0.37852455750817365
72_1_8,72,8,1,ตลาดวรจักร,13.749455,100.507498,73_1_8,73,แม้นศรี,13.751128,100.508259,0.20337826998012998
73_1_8,73,8,1,แม้นศรี,13.751128,100.508259,74_1_8,74,สำเพ็ง,13.752838,100.50902,0.20714795761584956
